index,typeRes,x,y,dirRad
0,174,158,388,0.0
1,215,359,2097,1.57
2,205,-401,3346,0.0
3,215,-106,4132,0.0
4,215,-466,4434,1.57
5,215,-1291,6034,0.0
6,229,-561,7260,0.0
7,215,-448,8344,0.0
8,215,-450,8735,3.141
9,205,-1232,10135,3.1415
10,172,-713,10157,0.0
11,174,-721,10645,0.0
12,215,-1182,10696,0.0
13,215,-219,11507,0.0
14,165,-70,11802,0.0
15,215,-160,12308,1.57
16,215,-173,14562,3.1415
17,215,417,15141,0.0
18,205,378,15469,0.0
19,167,190,17022,0.0
20,167,54,17037,0.0
21,215,536,17967,0.0
22,215,-389,18846,0.0
23,205,-341,21833,0.0
24,215,656,22559,0.0
25,215,1000,22647,1.57
26,205,645,23613,0.0
27,215,610,25302,0.0
28,168,1060,25504,0.0
29,168,1259,25549,0.0
30,215,1444,26858,0.0
31,229,807,27150,3.1415
32,172,1199,27393,0.0
33,173,1198,27705,0.0
34,170,1026,27731,0.0
35,170,1200,27739,0.0
36,215,1450,28607,0.0
37,205,837,28625,0.0
38,215,1306,29063,0.0
39,171,1171,30798,0.0
40,215,1043,31510,0.0
41,171,1332,31608,0.0
42,215,1255,32395,1.57
43,205,973,33046,3.1415
44,215,957,33907,0.0
45,167,1501,35330,0.0
46,173,1575,35433,0.0
47,167,1432,35436,0.0
48,215,927,35758,0.0
49,215,1852,37785,0.0
50,205,1023,37984,1.57
51,196,1520,38000,0.0
52,197,1307,38000,0.0
