index,v0,v1,v2,v3
0,-674,-495,197,342
1,-132,0,0,116
2,-132,0,0,116
3,0,0,0,0
4,0,0,0,116
5,-132,0,0,116
6,0,0,0,116
7,-132,0,0,116
8,0,0,0,0
9,124,0,0,116
10,-132,0,0,116
11,0,0,0,116
12,-132,0,0,116
13,0,0,0,0
14,124,0,0,116
15,-132,0,0,116
16,0,0,0,116
17,-132,0,0,116
18,0,0,0,116
19,-132,0,0,116
20,0,0,0,0
21,0,0,0,116
22,-132,0,0,116
23,0,0,0,116
24,-132,0,0,116
25,0,0,0,116
26,-132,0,0,116
27,0,0,0,0
28,-132,0,0,116
29,0,0,0,0
30,0,0,0,116
31,-132,0,0,116
32,0,0,0,116
33,-132,0,0,116
34,0,0,0,116
35,-132,0,0,116
36,0,0,0,0
37,-132,0,0,116
38,0,0,0,0
39,0,0,0,116
40,-132,0,0,116
41,0,0,0,116
42,-132,0,0,116
43,0,0,0,116
44,-132,0,0,116
45,0,0,0,0
46,-132,0,0,116
47,0,0,0,0
48,0,0,0,116
49,-132,0,0,116
50,0,0,0,116
51,-132,0,0,116
52,0,0,0,116
53,-132,0,0,116
54,0,0,0,0
55,-132,0,0,116
56,0,0,0,0
57,0,0,0,116
58,-132,0,0,116
59,0,0,0,116
60,-132,0,0,116
61,0,0,0,116
62,-132,0,0,116
63,0,0,0,0
64,-132,0,0,116
65,0,0,0,0
66,0,0,0,116
67,-132,0,0,116
68,0,0,0,116
69,-132,0,0,116
70,0,0,0,116
71,-132,0,0,116
72,0,0,0,0
73,-132,0,0,116
74,0,0,0,0
75,0,0,0,116
76,-132,0,0,116
77,0,0,0,116
78,-132,0,0,116
79,0,0,0,116
80,-132,0,0,116
81,0,0,0,0
82,-132,0,0,116
83,0,0,0,0
84,0,0,0,116
85,-132,0,0,116
86,0,0,0,116
87,-132,0,0,116
88,0,0,0,116
89,-132,0,0,116
90,0,0,0,0
91,-132,0,0,116
92,0,0,0,0
93,0,0,0,116
94,-132,0,0,116
95,0,0,0,116
96,-132,0,0,116
97,0,0,0,116
98,-132,0,0,116
99,0,0,0,0
100,-132,0,0,116
101,0,0,0,0
102,0,0,0,116
103,-132,0,0,116
104,0,0,0,116
105,-132,0,0,116
106,0,0,0,116
107,-132,0,0,116
108,0,0,0,0
109,-132,0,0,116
110,0,0,0,0
111,0,0,0,116
112,-132,0,0,116
113,0,0,0,116
114,-132,0,0,116
115,0,0,0,116
116,-132,0,0,116
117,0,0,0,0
118,-132,0,0,116
119,0,0,0,0
120,0,0,0,116
121,-132,0,0,116
122,0,0,0,116
123,-132,0,0,116
124,0,0,0,116
125,-132,0,0,116
126,0,0,0,0
127,-132,0,0,116
128,0,0,0,0
129,0,0,0,116
130,-132,0,0,116
131,0,0,0,116
132,-132,0,0,116
133,0,0,0,116
134,-132,0,0,116
135,0,0,0,0
136,-132,0,0,116
137,0,0,0,0
138,0,0,0,116
139,-132,0,0,116
140,0,0,0,116
141,-132,0,0,116
142,0,0,0,116
143,-132,0,0,116
144,0,0,0,0
145,-132,0,0,116
146,0,0,0,0
147,0,0,0,116
148,-132,0,0,116
149,0,0,0,116
150,-132,0,0,116
151,0,0,0,116
152,-132,0,0,116
153,0,0,0,0
154,-132,0,0,116
155,0,0,0,0
156,0,0,0,116
157,-132,0,0,116
158,0,0,0,116
159,-132,0,0,116
160,0,0,0,116
161,-132,0,0,116
162,0,0,0,0
163,-132,0,0,116
